#;详细描述;Detailed description;Ətraflı təsviri;Malgöndərən/podratçının qeydləri;Part Number;Ad eng;Ad chn;Category;Factory Adress;iSTEHSALCI OLKE;Condition;Quality;Car Brand;Car marka;Part Year
1;更换万向轴横梁，包括备件。;Replacement of the cardan shaft cross member with a new one, including spare parts;Kardan valının çarpazının (krestovinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;897947642051. .Çin, Original;897947642051;Drive shaft cross;传动轴十字轴;Transmission / Drivetrain;shin chuna chan 23718;China;New;Original;Isuzu;Nova;2 020,00
2;更换离合器及离合器片（vizhimnoy），包括新的离合器片和备件。;Replacement of the clutch with the clutch pad (vizhimnoy) with a new one, along with the spare part;Sıxıcı mufta yastığı ilə birlikdə (vıjimnoy) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;187610110051..Çin, Original;187610110051;Clutch release bearing;离合器分离轴承;Clutch System;;China;New;Original;Isuzu;Nova;2 020,00
3;用新的圆盘（feredo）替换磨损的圆盘，并附上备用零件。;Replacing the worn disc (feredo) with a new one, along with a spare part;Aparılan disk (feredo) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;587610080151..Çin, Original;587610080151;Clutch disc;离合器摩擦片;Clutch System;;China;New;Original;Isuzu;Nova;2 020,00
4;更换压力盘（杯状物），包括备件。;Replacing the pressure disc (cup) with a new one, including spare parts;Sıxıcı disk (çaşka) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;587610104051..Çin, Original;587610104051;Clutch pressure plate;离合器压盘;Clutch System;;China;New;Original;Isuzu;Nova;2 020,00
5;更换后减震器垫片（含备件）;Replacement of the rear shock absorber pad with a new one, including spare parts;Arxa amortizator yastığının yenisi ilə əvəz olunması, ehtiyat hissəsilə ilə birlikdə;951631014001. .Çin, Original;951631014001;Rear shock absorber mount;后减震器胶垫;Suspension;;China;New;Original;Isuzu;Nova;2 020,00
6;更换挡风玻璃（底玻璃）;Replacing the windshield (underglaze) with a new one;Ön alın şüşəsinin (podpresin) yenisi ilə əvəz olunması;1761180451.Çin, Original;1761180451;Front windshield;前挡风玻璃;Body / Glass;;China;New;Original;Isuzu;Nova;2 020,00
7;离合器缸更换，包括备件;Clutch cylinder replacement, including spare part;Muftanın silindrinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;898117643251..Çin, Original;898117643251;Clutch cylinder;离合器液压缸;Clutch System;;China;New;Original;Isuzu;Nova;2 020,00
8;更换制动主缸，包括备件;Master brake cylinder replacement, including spare part;Baş əyləc (qlavnıy) silindrin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;898032602051. .Çin, Original;898032602051;Master cylinder;主缸;Braking System;;China;New;Original;Isuzu;Nova;2 020,00
9;更换雨刮片，包括备用零件。;Replacing the wiper blades with new ones, including spare parts;Şüşəsilənin fırçalarının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;387035759101. .Çin, Original;387035759101;Windshield wiper blade;雨刷片;Accessories / Wipers;;China;New;Original;Isuzu;Nova;2 020,00
10;更换挡风玻璃雨刮电机，包括备件。;Replacing the windshield wiper motor with a new one, including spare parts;Şüşəsilənin motorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;387053528001. .Çin, Original;387053528001;Windshield wiper motor;雨刷电机;Accessories / Wipers;;China;New;Original;Isuzu;Nova;2 020,00
11;发电机皮带更换，含备件;Dynamo belt replacement, with spare part;Dinamo qayışının dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;8980031870.Çin, Original;8980031870;Alternator belt;发电机皮带;Engine / Belts;;China;New;Original;Isuzu;Nova;2 020,00
12;更换发电机电枢（绕组），包括备件;Replacement of the dynamo armature (winding), including spare part;Dinamo lövbərinin (obmotka) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;8973027010.Çin, Original;8973027010;Alternator winding;发电机绕组;Engine / Alternator;;China;New;Original;Isuzu;Nova;2 020,00
13;更换发电机继电器，包括备件;Replacement of the dynamo relay, including spare part;Dinamo relesinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;377776552101. .Çin, Original;377776552101;Alternator relay;发电机继电器;Engine / Alternator;;China;New;Original;Isuzu;Nova;2 020,00
14;更换发电机，包括新的发电机和备用零件。;Replacement of the dynamo with a new one, along with spare parts;Dinamonun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;377776393001. .Çin, Original;377776393001;Alternator;发电机;Engine / Alternator;;China;New;Original;;;
15;启动锚更换，包括备件;Starter anchor replacement, including spare part;Starter lövbərinin (yakorunun) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;8971922990.Çin, Original;8971922990;Starter coil;起动机绕组;Engine / Starter;;China;New;Original;;;
16;启动器碳罐更换，含备件;Starter carbon replacement, with spare part;Starter kömürünün dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə ;894167430051. .Çin, Original;894167430051;Starter brush;起动机碳刷;Engine / Starter;;China;New;Original;;;
17;更换启动开关（自动），包括备件;Replacement of starter switch (automatic), including spare part;Starter qoşucusunun (avtomatının) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;894337444051. .Çin, Original;894337444051;Starter solenoid;起动机电磁开关;Engine / Starter;;China;New;Original;;;
18;拆卸和维修起动传动装置（包括备件）;Dismantling and repairing the starter transmission (bendex), including spare parts;Starter intiqalının (bendeksinin) sökülüb təmir olunması, ehtiyat hissəsi ilə birlikdə;897025671054. .Çin, Original;897025671054;Starter drive;起动机单向器;Engine / Starter;;China;New;Original;;;
19;更换起动机，包括一个新的和备用的零件。;Replacing the starter with a new one, along with a spare part;Starterin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;898222018254. .Çin, Original;898222018254;Starter motor;起动机;Engine / Starter;;China;New;Original;;;
20;燃油泵更换，包括备件;Fuel pump replacement, including spare part;Yanacaq nasosunun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;897386557651. .Çin, Original;897386557651;Fuel pump;燃油泵;Fuel System;;China;New;Original;;;
21;更换水泵，包括一个新的水泵和一个备用零件。;Replacing the water pump with a new one, along with a spare part;Su nasosunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;587610089151. .Çin, Original;587610089151;Water pump;水泵;Engine / Cooling System;;China;New;Original;;;
22;冲洗燃油喷射器;Flushing fuel injectors;Yanacaq forsunkalarının yuyulması;XİDMƏT.;XİDMƏT;.;.;;;China;New;Original;;;
23;更换供暖炉管道（软管），包括备件;Replacement of the heating furnace pipe (hose), including spare part;İstilik peçinin borusunun (şlanqının) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;377772701101. .Çin, Original;377772701101;Heater hose;暖风水管;Cooling / Heating System;;China;New;Original;;;
24;更换下部散热器管道，包括备件;Replacement of the lower radiator pipe, including spare part;Su radiatorunun alt borusunun (potrubkası) əvəz olunması, ehtiyat hissəsi ilə birlikdə;897209949151. .Çin, Original;897209949151;Lower radiator hose;散热器下水管;Engine / Cooling System;;China;New;Original;;;
25;更换上部水暖散热器管道，包括备件;Replacement of the upper water radiator pipe, including spare part;Su radiatorunun üst borusunun (potrubkası) əvəz olunması, ehtiyat hissəsi ilə birlikdə;897379228151. .Çin, Original;897379228151;Upper radiator hose;散热器上水管;Engine / Cooling System;;China;New;Original;;;
26;更换水温传感器，包括备件;Replacement of water temperature sensor, including spare part;Su temperaturu sensorunun (datçikinin) əvəz olunması, ehtiyat hissəsi ilə birlikdə;898260257051. .Çin, Original;898260257051;Coolant temperature sensor;冷却液温度传感器;Engine / Sensors;;China;New;Original;;;
27;更换恒温器，包括一个新的和备用的。;Replacing the thermostat with a new one, along with a spare part;Termostatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;897300790351. .Çin, Original;897300790351;Thermostat;恒温器;Engine / Cooling System;;China;New;Original;;;
28;更换取暖炉的散热器，包括备件。;Replacing the radiator of the heating stove with a new one, including spare parts;İstilik peçinin radiatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;898047494054. .Çin, Original;898047494054;Heater core;暖风散热器;Cooling / Heating System;;China;New;Original;;;
29;更换机油散热器，包括备件。;Replacing the oil radiator with a new one, including spare parts;Yağ radiatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;387051808001. .Çin, Original;387051808001;Oil cooler;机油冷却器;Engine / Cooling System;;China;New;Original;;;
30;更换水暖散热器，包括备件。;Replacing the water radiator with a new one, including spare parts;Su radiatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;387017879201. .Çin, Original;387017879201;Radiator;散热器;Engine / Cooling System;;China;New;Original;;;
31;动力转向油，包括更换;Power steering oil, including replacement;Sükan hidrogücləndiricisinin (rulevoyun) yağı, dəyişdirilməsi ilə birlikdə;ATF 3  Bendix,Türkiyə.;ATF 3;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
32;更换动力转向系统（方向盘），包括备件。;Replacement of the power steering (steering wheel) with a new one, including spare parts;Sükan hidrogücləndiricisinin (rulevoyun) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;8978243001. .Çin, Original;8978243001;Power steering rack;转向助力齿条;Steering / Power Steering;;China;New;Original;;;
33;刹车油，包括更换;Brake fluid, including replacement;Əyləc mayesi, dəyişdirilməsi ilə birlikdə;DOT 4 Bendix Türkiyə;DOT 4;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
34;更换后刹车支架，包括备件。;Replacement of the rear brake support with a new one, including the spare part;Arxa əyləc supportunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;129996990654. .Çin, Original;129996990654;Rear brake caliper;后刹车卡钳;Braking System;;China;New;Original;;;
35;更换前刹车支架，使用新的支架和备件。;Replacing the front brake support with a new one, along with the spare part;Ön əyləc supportunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;129996990654. .Çin, Original;129996990654;Front brake caliper;前刹车卡钳;Braking System;;China;New;Original;;;
36;更换刹车软管，含备件;Brake hose replacement, with spare part;Əyləc şlanqlarının dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;898122043051. .Çin, Original;898122043051;Brake hose;刹车软管;Braking System;;China;New;Original;;;
37;用新的连杆（稳定杆）以及备件替换旧的连杆（稳定杆）。;Replacing the link (stabilizer bar) with a new one, along with the spare part;Linqin (stabilizatorun sırğası) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;587830536254. .Çin, Original;587830536254;Stabilizer link;稳定杆连接杆;Suspension;;China;New;Original;;;
38;更换轮毂轴承（含备件）;Replacement of the hub bearing with a new one, including spare parts;Stupitsa diyircəkli yastığının (podşibnikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;377777387054. .Çin, Original;377777387054;Wheel hub bearing;轮毂轴承;Suspension / Wheel Assembly;;China;New;Original;;;
39;更换下部皮带轮，包括备件;Replacement of the lower pulley, including spare part;Alt şaravoyun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;387029751001. .Çin, Original;387029751001;Lower ball joint;下球头;Suspension;;China;New;Original;;;
40;左下臂置换，含备件;Lower left arm replacement, with spare part;Alt sol qolun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;387411525001. .Çin, Original;387411525001;Lower left control arm;左下控制臂;Suspension;;China;New;Original;;;
